
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-22 18:30:05; uid=20130916171725; uic=60; IP=46.216.64.166; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-22 20:35:34; uid=20140303213250; uic=99; IP=178.124.202.66; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-22 20:44:48; uid=20140303213250; uic=109; IP=178.124.202.66; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-22 22:30:48; uid=20140522220124; uic=6; IP=86.57.185.114; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-22 22:55:48; uid=20140427170239; uic=21; IP=95.128.67.34; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-23 00:19:35; uid=20140311230126; uic=712; IP=37.17.114.191; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 520) | ; 2014-05-23 07:55:29; uid=20140522082343; uic=22; IP=46.216.244.106; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.2.2; ru-ru; SAMSUNG GT-I9190 Build/JDQ39) AppleWebKit/535.19 (KHTML, like Gecko) Version/1.0 Chrome/18.0.1025.308 Mobile Safari/535.19 | ; 2014-05-23 08:41:52; uid=20140323020740; uic=36; IP=37.17.113.62; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.2.2; ru-ru; SAMSUNG GT-I9190 Build/JDQ39) AppleWebKit/535.19 (KHTML, like Gecko) Version/1.0 Chrome/18.0.1025.308 Mobile Safari/535.19 | ; 2014-05-23 08:46:22; uid=20140323020740; uic=37; IP=37.17.113.62; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 11:38:36; uid=20130608230946; uic=172; IP=178.125.181.115; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.900 Safari/537.36 MRCHROME SOC | ; 2014-05-23 11:45:16; uid=20140523113113; uic=4; IP=50.87.108.93; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 12:24:36; uid=20140425115210; uic=38; IP=212.98.166.57; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 12:49:11; uid=20140507185420; uic=68; IP=86.57.199.80; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-23 14:00:58; uid=20140523133716; uic=11; IP=213.184.224.98; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; MRSPUTNIK 2, 3, 0, 216; GTB7.5; InfoPath.1) | ; 2014-05-23 14:36:25; uid=20131002154216; uic=116; IP=37.17.115.40; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 15:26:50; uid=20130828180329; uic=90; IP=46.216.244.70; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 15:35:25; uid=20140520082006; uic=24; IP=82.209.251.70; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 16:40:44; uid=20131206161232; uic=126; IP=37.212.48.85; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 YaBrowser/14.2.1700.12508 Safari/537.36 | ; 2014-05-23 16:45:55; uid=20131203205619; uic=127; IP=178.124.109.57; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 YaBrowser/14.2.1700.12508 Safari/537.36 | ; 2014-05-23 17:35:25; uid=20140523172934; uic=11; IP=86.57.194.113; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 17:44:24; uid=20140422135139; uic=24; IP=178.124.106.123; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-23 17:49:22; uid=20140422135139; uic=31; IP=178.124.106.123; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36 MRCHROME | ; 2014-05-23 17:51:49; uid=20140515041142; uic=18; IP=93.125.42.66; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67 | ; 2014-05-23 18:00:26; uid=20140131170726; uic=364; IP=86.57.197.116; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.15 | ; 2014-05-23 18:07:30; uid=20140523172733; uic=28; IP=46.53.193.201; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.15 | ; 2014-05-23 18:10:25; uid=20140523172733; uic=29; IP=46.53.193.201; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-23 18:19:23; uid=20140523180612; uic=11; IP=86.57.255.90; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.15 | ; 2014-05-23 18:24:15; uid=20140523172733; uic=37; IP=46.53.193.201; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 18:43:50; uid=20140514203119; uic=224; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-23 18:47:18; uid=20140507151100; uic=84; IP=46.216.186.186; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 18:52:12; uid=20140514203119; uic=226; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 19:50:36; uid=20140514203119; uic=236; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 19:50:56; uid=20140514203119; uic=237; IP=86.57.157.171; page=/ad-form/
